SecurityID,Company
688578,艾力斯
688315,诺禾致源
603171,税友股份
601528,瑞丰银行
601963,重庆银行
601279,英利汽车
603511,爱慕股份
605339,南侨食品
688617,惠泰医疗
601921,浙版传媒
605507,国邦医药
605589,圣泉集团
301071,力量钻石
301089,拓新药业
301155,海力风电
301180,万祥科技
301217,铜冠铜箔
301177,迪阿股份
605365,立达信
002435,长江健康
002880,卫光生物
002291,星期六
002218,拓日新能
002759,天际股份
002761,浙江建投
002232,启明信息
002550,千红制药
002581,未名医药
002516,旷达科技
002792,通宇通讯
002344,海宁皮城
300307,慈星股份
000566,海南海药
000597,东北制药
000813,德展健康
000936,华西股份
000557,西部创业
000065,北方国际
000036,华联控股
000517,荣安地产
000615,奥园美谷
000918,嘉凯城
000697,炼石航空
000503,国新健康
300378,鼎捷软件
300523,辰安科技
300311,任子行
300439,美康生物
300132,青松股份
300204,舒泰神
300102,乾照光电
300842,帝科股份
300857,协创数据
300077,国民技术
300208,青岛中程
300510,金冠股份
300856,科思股份
300343,联创股份
300027,华谊兄弟
605338,巴比食品
603368,柳药集团
600694,大商股份
603222,济民医疗
603530,神马电力
603595,东尼电子
603896,寿仙谷
603959,百利科技
603566,普莱柯
605388,均瑶健康
603439,贵州三力
688033,天宜上佳
688127,蓝特光学
688268,华特气体
688278,特宝生物
688365,光云科技
688389,普门科技
688408,中信博
688505,复旦张江
688586,江航装备
600055,万东医疗
600246,万通发展
600331,宏达股份
600389,江山股份
600604,市北高新
600715,文投控股
600990,四创电子
601619,嘉泽新能
600610,中毅达
600696,岩石股份
603306,华懋科技
603960,克来机电
603995,甬金股份
688017,绿的谐波
688050,爱博医疗
688085,三友医疗
688233,神工股份
688366,昊海生科
688095,福昕软件
601258,庞大集团
600158,中体产业
600266,城建发展
603103,横店影视
688128,中国电研
600873,梅花生物
600977,中国电影
600657,信达地产
600682,南京新百
603299,苏盐井神
603718,海利生物
603979,金诚信
603612,索通发展
605007,五洲特纸
603363,傲农生物
603766,隆鑫通用
603308,应流股份
603328,依顿电子
603337,杰克股份
603693,江苏新能
603876,鼎胜新材
688001,华兴源创
688007,光峰科技
688020,方邦股份
688027,国盾量子
688133,泰坦科技
688198,佰仁医疗
688222,成都先导
688266,泽璟制药
688277,天智航
688339,亿华通
688520,神州细胞
688788,科思科技
600063,皖维高新
600103,青山纸业
600105,永鼎股份
600108,亚盛集团
600114,东睦股份
600123,兰花科创
600169,太原重工
600179,安通控股
600184,光电股份
600217,中再资环
600261,阳光照明
600305,恒顺醋业
600308,华泰股份
600320,振华重工
600360,华微电子
600366,宁波韵升
600416,湘电股份
600428,中远海特
600449,宁夏建材
600458,时代新材
600480,凌云股份
600491,龙元建设
600496,精工钢构
600512,腾达建设
600523,贵航股份
600550,保变电气
600552,凯盛科技
600557,康缘药业
600569,安阳钢铁
600587,新华医疗
600590,泰豪科技
600602,云赛智联
600618,氯碱化工
600710,苏美达
600748,上实发展
600761,安徽合力
600770,综艺股份
600775,南京熊猫
600797,浙大网新
600800,渤海化学
600810,神马股份
600874,创业环保
600929,雪天盐业
600963,岳阳林纸
600971,恒源煤电
600997,开滦股份
601028,玉龙股份
601137,博威合金
601208,东材科技
601369,陕鼓动力
601399,国机重装
601515,东风股份
601678,滨化股份
601700,风范股份
601777,力帆科技
601886,江河集团
601918,新集能源
601929,吉视传媒
603013,亚普股份
603033,三维股份
603098,森特股份
603169,兰石重装
603212,赛伍技术
600059,古越龙山
600163,中闽能源
600172,黄河旋风
600252,中恒集团
600565,迪马股份
600621,华鑫股份
600645,中源协和
600691,阳煤化工
600841,动力新科
600869,远东股份
600877,声光电科
600888,新疆众和
603055,台华新材
603567,珍宝岛
603997,继峰股份
605008,长鸿高科
688023,安恒信息
688100,威胜信息
688106,金宏气体
600481,双良节能
601588,北辰实业
600675,中华企业
600017,日照港
600098,广州发展
600575,淮河能源
600578,京能电力
600635,大众公用
600662,外服控股
600986,浙文互联
600996,贵广网络
603053,成都燃气
600326,西藏天路
600649,城投控股
603359,东珠生态
002309,ST中利
002267,陕天然气
002042,华孚时尚
002276,万马股份
002489,浙江永强
002061,浙江交科
002941,新疆交建
002310,东方园林
002285,世联行
002975,博杰股份
002400,省广集团
002020,京新药业
002130,沃尔核材
002025,航天电器
002463,沪电股份
002176,江特电机
002145,中核钛白
002044,美年健康
002850,科达利
002405,四维图新
003039,顺控发展
003031,中瓷电子
002706,良信股份
002402,和而泰
002851,麦格米特
002099,海翔药业
002332,仙琚制药
002675,东诚药业
002237,恒邦股份
002738,中矿资源
002585,双星新材
002984,森麒麟
002216,三全食品
002626,金达威
002085,万丰奥威
003012,东鹏控股
002541,鸿路钢构
002487,大金重工
002612,朗姿股份
002389,航天彩虹
002906,华阳集团
002245,蔚蓝锂芯
002531,天顺风能
002617,露笑科技
002498,汉缆股份
002597,金禾实业
002312,川发龙蟒
002320,海峡股份
002839,张家港行
002978,安宁股份
002091,江苏国泰
002747,埃斯顿
002967,广电计量
002436,兴森科技
002041,登海种业
002243,力合科创
002192,融捷股份
002651,利君股份
002698,博实股份
002950,奥美医疗
002287,奇正藏药
002737,葵花药业
002171,楚江新材
002182,云海金属
002324,普利特
002158,汉钟精机
002472,双环传动
002481,双塔食品
002847,盐津铺子
002126,银轮股份
002239,奥特佳
002918,蒙娜丽莎
002318,久立特材
002545,东方铁塔
002832,比音勒芬
002036,联创电子
002413,雷科防务
002484,江海股份
002859,洁美科技
002993,奥海科技
002214,大立科技
002217,合力泰
002960,青鸟消防
002677,浙江美大
002959,小熊电器
002292,奥飞娱乐
002226,江南化工
002810,山东赫达
002440,闰土股份
002539,云图控股
002254,泰和新材
002928,华夏航空
002911,佛燃能源
002807,江阴银行
002961,瑞达期货
002534,西子洁能
002913,奥士康
002335,科华数据
002258,利尔化学
002023,海特高新
002351,漫步者
002100,天康生物
002567,唐人神
002726,龙大美食
002261,拓维信息
002544,普天科技
002605,姚记科技
002518,科士达
002163,海南发展
002727,一心堂
002123,梦网科技
002610,爱康科技
002063,远光软件
002773,康弘药业
002262,恩华药业
002643,万润股份
002038,双鹭药业
002635,安洁科技
002139,拓邦股份
002461,珠江啤酒
002151,北斗星通
002456,欧菲光
002558,巨人网络
003040,楚天龙
002097,山河智能
002204,大连重工
002293,罗莱生活
002895,川恒股份
002314,南山控股
002837,英维克
300409,道氏技术
300772,运达股份
300639,凯普生物
300188,美亚柏科
300369,绿盟科技
300451,创业慧康
300803,指南针
300271,华宇软件
300981,中红医疗
300910,瑞丰新材
300942,易瑞生物
301015,百洋医药
301039,中集车辆
300894,火星人
300973,立高食品
301080,百普赛斯
301069,凯盛新材
301090,华润材料
301035,润丰股份
301060,兰卫医学
301050,雷电微力
301078,孩子王
301047,义翘神州
300151,昌红科技
300527,中船应急
300443,金雷股份
300087,荃银高科
300123,亚光科技
300085,银之杰
300036,超图软件
300348,长亮科技
