"EMPLOYEE_ID","START_DATE","END_DATE","JOB_ID","DEPARTMENT_ID"
102,2001-01-13 00:00:00.000,2006-07-24 00:00:00.000,IT_PROG,60
101,1997-09-21 00:00:00.000,2001-10-27 00:00:00.000,AC_ACCOUNT,110
101,2001-10-28 00:00:00.000,2005-03-15 00:00:00.000,AC_MGR,110
201,2004-02-17 00:00:00.000,2007-12-19 00:00:00.000,MK_REP,20
114,2006-03-24 00:00:00.000,2007-12-31 00:00:00.000,ST_CLERK,50
122,2007-01-01 00:00:00.000,2007-12-31 00:00:00.000,ST_CLERK,50
200,1995-09-17 00:00:00.000,2001-06-17 00:00:00.000,AD_ASST,90
176,2006-03-24 00:00:00.000,2006-12-31 00:00:00.000,SA_REP,80
176,2007-01-01 00:00:00.000,2007-12-31 00:00:00.000,SA_MAN,80
200,2002-07-01 00:00:00.000,2006-12-31 00:00:00.000,AC_ACCOUNT,90
